productId,userId,Rating
Casual Boots,A000,4
winter long boot,A000,1
Canvas Casual Comfortable Sneakers,A000,5
Liberty Gliders Casual Shoes,A000,3
Neeman's ReLive Knit Casual Slip On Sneakers for Women,A001,2
winter long boot,A001,3
Skechers Womens Flex Appeal 3.0-go Forward Sneaker,A001,4
Liberty Gliders Casual Shoes,A001,1
Kraasa Slip On Sneakers for Women,A001,5
Skechers Womens Flex Appeal 3.0-go Forward Sneaker,A002,3
urexo Women Sneaker's Maroon,A002,2
Comfotable Lightweight Casual Sneaker,A002,4
Canvas Casual Comfortable Sneakers,A002,5
Women's Casual Sandal,A002,3
Casual Boots,A002,4
Leather Comfortable Block Heel Sandals,A002,5
winter long boot,A002,3
Neeman's ReLive Knit Casual Slip On Sneakers for Women,A002,3
JM LOOKS Strappy Heels,A003,4
Leather Comfortable Block Heel Sandals,A003,5
Women Formal Shoes,A003,5
hunky Block Heels,A004,3
Strappy Block Heel,A004,3
Gold High Heels Butterfly,A004,4
Wedding Shoes for Bride,A004,5
Metallic Glitter Evening Shoe,A004,4
Women stylish transparent heels,A004,4
NINE WEST womens Folowe,A005,3
Low heel,A005,3
Steel Toe Work Shoes for Men,A005,2
RUIDENG Platform Sneakers,A005,1
Wedding Shoes for Bride,A005,4
Walking shoe,A005,3
Round Toe Cowboy Boot,A005,4
Women stylish transparent heels,A006,3
Water Resistant Cold Weather Winter Boots,A006,3
Off White Croc Embossed Vegan Leather Long Boots,A006,3
hunky Block Heels,A007,2
Leather Block Winter Boots,A008,1
TAYDOL women fancy block heel sandal (33),A008,2
Metallic Glitter Evening Shoe,A008,3
Sparx Mens Sm-757 Sneaker,A008,3
Low heel,A008,4
Strappy Block Heel,A008,5
Liberty Gliders Casual Shoes,A009,5
Ankle Length Casual Boots,A009,4
Women and Girls Heels Sandal,A009,5
Wedding Shoes for Bride,A009,4
Round Toe Cowboy Boot,A009,4
Heeled Sandal,A009,5
TAYDOL women fancy block heel sandal (33),A009,5
Women stylish transparent heels,A009,4
Off White Croc Embossed Vegan Leather Long Boots,A009,3
Sparx Mens Sm-757 Sneaker,A009,3
Metallic Glitter Evening Shoe,A010,2
Lace Up Duck Boot,A010,2
Strappy Block Heel,A010,2
Transparent Strappy Open Toe Shoes Heels for Women,A010,1
Women and Girls Heels Sandal,A010,3
Wedding Shoes for Bride,A011,3
Strappy Block Heel,A011,4
Leather Block Winter Boots,A011,3
Round Toe Cowboy Boot,A012,3
Women and Girls Heels Sandal,A012,5
NINE WEST womens Folowe,A012,5
Red Tape Sports Shoes for Men | Comfortable Walking Shoes,A012,4
Water Resistant Cold Weather Winter Boots,A012,3
Low heel,A012,2
Heeled Sandal,A013,1
Wedding Shoes for Bride,A013,2
Off White Croc Embossed Vegan Leather Long Boots,A013,3
hunky Block Heels,A013,4
Wedding Dress Shoes,A013,5
Leather Block Winter Boots,A014,2
NINE WEST womens Folowe,A014,3
Women and Girls Heels Sandal,A014,2
Sparx Mens Sm-757 Sneaker,A014,2
Metallic Glitter Evening Shoe,A015,3
Calvin Klein Kerie,A015,3
Toe Chunky Heel Ankle Strap Shoes,A015,4
Women's UA Surge 3 Running Shoes,A015,4
Red Tape Sports Shoes for Men | Comfortable Walking Shoes,A015,3
Wedding Dress Shoes,A015,3
Gold High Heels Butterfly,A015,2
TAYDOL women fancy block heel sandal (33),A015,5
Off White Croc Embossed Vegan Leather Long Boots,A015,1
Block Heel Fashion Sandal,A015,3
Women stylish transparent heels,A015,3
Transparent Strappy Open Toe Shoes Heels for Women,A015,4
Leather Thigh High Boot,A015,4
Leather Comfortable Block Heel Sandals,A016,3
Metallic Glitter Evening Shoe,A016,3
Walking shoe,A016,2
Women and Girls Heels Sandal,A016,2
hunky Block Heels,A016,1
High Chunky Heel Ankle Booties,A016,2
TAYDOL women fancy block heel sandal (33),A017,2
RUIDENG Platform Sneakers,A018,3
Sparx Mens Sm-757 Sneaker,A018,2
Heeled Sandal,A018,3
Leather Block Winter Boots,A019,2
Gold High Heels Butterfly,A019,3
Women and Girls Heels Sandal,A020,2
Calvin Klein Kerie,A020,3
NINE WEST FOOTWEAR,A020,3
Red Tape Sports Shoes for Men | Comfortable Walking Shoes,A020,2
Wedding Shoes for Bride,A020,1
Liberty Gliders Casual Shoes,A020,3
Leather Thigh High Boot,A020,3
Casual Slip-On Sneaker,A020,3
hunky Block Heels,A020,4
Strappy Open Toe Block Heel Sandal,A020,4
Block Heel Fashion Sandal,A020,4
Women's UA Surge 3 Running Shoes,A020,4
Women stylish transparent heels,A021,2
Neeman's ReLive Knit Casual Slip On Sneakers for Women,A021,1
Steel Toe Work Shoes for Men,A021,2
Leather Comfortable Block Heel Sandals,A021,2
Leather Block Winter Boots,A021,2
Gold High Heels Butterfly,A021,2
Lace Up Buckle Casual Shoes,A022,3
RUIDENG Platform Sneakers,A022,3
Water Resistant Cold Weather Winter Boots,A022,3
Shuz Touch Women Solid Glossy Ankle Length Heels Boots,A023,5
NINE WEST womens Folowe,A023,4
Leather Comfortable Block Heel Sandals,A023,4
NINE WEST FOOTWEAR,A024,3
Neeman's ReLive Knit Casual Slip On Sneakers for Women,A024,3
Shoes Women's Dorian Boot,A024,2
Walking shoe,A024,2
